Mod:Item:MetaData, Localized Name
MineFactoryReloaded:machine.2:2, 自动型铁砧
MineFactoryReloaded:machine.2:3, 方块碎裂机
MineFactoryReloaded:machine.2:4, 红石音符盒
MineFactoryReloaded:machine.2:5, 自动酿造台
MineFactoryReloaded:machine.2:6, 果实采摘器
MineFactoryReloaded:machine.2:7, 方块放置器
MineFactoryReloaded:machine.2:8, 生物计数器
MineFactoryReloaded:machine.2:9, 蒸汽涡轮
MineFactoryReloaded:machine.2:10, 区块加载器
MineFactoryReloaded:machine.2:11, 喷泉
MineFactoryReloaded:machine.2:12, 怪物路由器
MineFactoryReloaded:tank, 塑料水槽
MineFactoryReloaded:cable.plastic, 塑料管道
MineFactoryReloaded:cable.redstone:0, 红石线缆
MineFactoryReloaded:cable.redstone:1, 红石线缆
MineFactoryReloaded:cable.redstone:2, 红石能量线缆
MineFactoryReloaded:cable.redstone:3, 红石能量线缆
MineFactoryReloaded:rednet.logic, 可编程红石控制器
MineFactoryReloaded:rednet.panel:0, 波形记录器
MineFactoryReloaded:rail.cargo.pickup, 货运装载轨道
MineFactoryReloaded:rail.cargo.dropoff, 货运卸载轨道
MineFactoryReloaded:rail.passenger.pickup, 乘客搭车轨道
MineFactoryReloaded:rail.passenger.dropoff, 乘客下车轨道
MineFactoryReloaded:rubberwood.sapling:0, 橡胶树树苗
MineFactoryReloaded:rubberwood.sapling:1, 神圣橡胶树树苗
MineFactoryReloaded:rubberwood.sapling:2, 宏伟橡胶树树苗
MineFactoryReloaded:rubberwood.sapling:3, 神圣橡胶树树苗
MineFactoryReloaded:rubberwood.log, 橡胶木
MineFactoryReloaded:rubberwood.leaves:0, 橡胶树叶
MineFactoryReloaded:rubberwood.leaves:1, 干枯橡胶树叶
MineFactoryReloaded:stainedglass.block:0, 白色玻璃
MineFactoryReloaded:stainedglass.block:1, 橙色玻璃
MineFactoryReloaded:stainedglass.block:2, 品红色玻璃
MineFactoryReloaded:stainedglass.block:3, 浅蓝色玻璃
MineFactoryReloaded:stainedglass.block:4, 黄色玻璃
MineFactoryReloaded:stainedglass.block:5, 柠檬色玻璃
MineFactoryReloaded:stainedglass.block:6, 粉色玻璃
MineFactoryReloaded:stainedglass.block:7, 灰色玻璃
MineFactoryReloaded:stainedglass.block:8, 浅灰色玻璃
MineFactoryReloaded:stainedglass.block:9, 青色玻璃
MineFactoryReloaded:stainedglass.block:10, 紫色玻璃
MineFactoryReloaded:stainedglass.block:11, 蓝色玻璃
MineFactoryReloaded:stainedglass.block:12, 棕色玻璃
MineFactoryReloaded:stainedglass.block:13, 绿色玻璃
MineFactoryReloaded:stainedglass.block:14, 红色玻璃
MineFactoryReloaded:stainedglass.block:15, 黑色玻璃
MineFactoryReloaded:stainedglass.pane:0, 白色玻璃板
MineFactoryReloaded:stainedglass.pane:1, 橙色玻璃板
MineFactoryReloaded:stainedglass.pane:2, 品红色玻璃板
MineFactoryReloaded:stainedglass.pane:3, 浅蓝色玻璃板
MineFactoryReloaded:stainedglass.pane:4, 黄色玻璃板
MineFactoryReloaded:stainedglass.pane:5, 柠檬色玻璃板
MineFactoryReloaded:stainedglass.pane:6, 粉色玻璃板
MineFactoryReloaded:stainedglass.pane:7, 灰色玻璃板
MineFactoryReloaded:stainedglass.pane:8, 浅灰色玻璃板
MineFactoryReloaded:stainedglass.pane:9, 青色玻璃板
MineFactoryReloaded:stainedglass.pane:10, 紫色玻璃板
MineFactoryReloaded:stainedglass.pane:11, 蓝色玻璃板
MineFactoryReloaded:stainedglass.pane:12, 棕色玻璃板
MineFactoryReloaded:stainedglass.pane:13, 绿色玻璃板
MineFactoryReloaded:stainedglass.pane:14, 红色玻璃板
MineFactoryReloaded:stainedglass.pane:15, 黑色玻璃板
MineFactoryReloaded:road:0, 铺路砖
MineFactoryReloaded:road:1, 铺路灯
MineFactoryReloaded:road:4, 铺路灯(反相)
MineFactoryReloaded:plastic, 塑料块
MineFactoryReloaded:brick:0, 冰砖块
MineFactoryReloaded:brick:1, 荧光砖块
MineFactoryReloaded:brick:2, 青金石砖块
MineFactoryReloaded:brick:3, 黑曜石砖块
MineFactoryReloaded:brick:4, 铺路石砖块
MineFactoryReloaded:brick:5, 雪砖块
MineFactoryReloaded:brick:6, 大型冰砖块
MineFactoryReloaded:brick:7, 大型荧光砖块
MineFactoryReloaded:brick:8, 大型青金石砖块
MineFactoryReloaded:brick:9, 大型黑曜石砖块
MineFactoryReloaded:brick:10, 大型铺路石砖
MineFactoryReloaded:brick:11, 大型雪砖块
MineFactoryReloaded:brick:12, 生肉块
MineFactoryReloaded:brick:13, 烤肉块
MineFactoryReloaded:brick:14, 大型砖块
MineFactoryReloaded:brick:15, 糖炭块
MineFactoryReloaded:stone:0, 光滑黑岩
MineFactoryReloaded:stone:1, 光滑白岩
MineFactoryReloaded:stone:2, 黑岩圆石
MineFactoryReloaded:stone:3, 白岩圆石
MineFactoryReloaded:stone:4, 大型黑岩砖块
MineFactoryReloaded:stone:5, 大型白岩砖块
MineFactoryReloaded:stone:6, 小型黑岩砖块
MineFactoryReloaded:stone:7, 小型白岩砖块
MineFactoryReloaded:stone:8, 黑岩砂砾
MineFactoryReloaded:stone:9, 白岩砂砾
MineFactoryReloaded:stone:10, 铺路黑岩
MineFactoryReloaded:stone:11, 铺路白岩
MineFactoryReloaded:pinkslime.block, 粉色粘液块
MineFactoryReloaded:vinescaffold, 藤蔓脚手架
MineFactoryReloaded:farmland, 沃土
MineFactoryReloaded:detcord, 引爆线圈
MineFactoryReloaded:milk.still, 牛奶
MineFactoryReloaded:sludge.still, 污泥
MineFactoryReloaded:sewage.still, 污水
MineFactoryReloaded:mobessence.still, 精华液
MineFactoryReloaded:biofuel.still, 生物燃油
MineFactoryReloaded:meat.still, 肉汤
MineFactoryReloaded:pinkslime.still, 粉色粘液
MineFactoryReloaded:chocolatemilk.still, 巧克力牛奶
MineFactoryReloaded:mushroomsoup.still, 蘑菇汤
MineFactoryReloaded:steam.still, 蒸汽
ExtraUtilities:chestMini, 迷你箱
ExtraUtilities:chestFull, 微型箱
ExtraUtilities:enderCollector, 末影收集器
ExtraUtilities:endConstructor:0, QED(量子纠缠测算仪Quantum Entanglement Diviner)
ExtraUtilities:endConstructor:2, 末影潮汐水晶
ExtraUtilities:endMarker, 末影路标
ExtraUtilities:curtains, 黑幕布帘
ExtraUtilities:angelBlock, 天使方块
ExtraUtilities:budoff:0, 方块更新检测器
ExtraUtilities:budoff:3, 方块更新检测器(高级)
ExtraUtilities:chandelier, 奢华吊顶灯
ExtraUtilities:decorativeBlock1:0, 镶边石砖
ExtraUtilities:decorativeBlock1:1, 末影黑曜石
ExtraUtilities:decorativeBlock1:2, 焦黑石英
ExtraUtilities:decorativeBlock1:3, 霜冻石头
